[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000364s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000438s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000281s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000341s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.005002s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005072s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000247s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000259s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000232s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000311s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001201s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000281s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000342s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000508s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000609s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000503s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000613s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.005722s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005813s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000323s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000394s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000247s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000426s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001601s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000363s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000433s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000506s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000607s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000728s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000868s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.006119s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006216s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000439s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000365s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000267s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000421s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001665s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000371s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000425s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000552s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000657s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000647s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000756s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.006939s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007014s ]
